Wallet game ID,Game title,Game provider,Vendor,Game type
51134,Chicky Run,PG Soft,pgsoft,crashgame
51101,Alchemy Gold,PG Soft,pgsoft,slots
51131,Anubis Wrath,PG Soft,pgsoft,slots
51103,Asgardian Rising,PG Soft,pgsoft,slots
51108,Bakery Bonanza,PG Soft,pgsoft,slots
51062,Bali Vacation,PG Soft,pgsoft,slots
51090,Battleground Royale,PG Soft,pgsoft,slots
51042,Bikini Paradise,PG Soft,pgsoft,slots
51074,Buffalo Win,PG Soft,pgsoft,slots
51091,Butterfly Blossom,PG Soft,pgsoft,slots
51044,Cai Shen Wins,PG Soft,pgsoft,slots
51066,Candy Bonanza,PG Soft,pgsoft,slots
51043,Candy Burst,PG Soft,pgsoft,slots
51030,Captain's Bounty,PG Soft,pgsoft,slots
51129,Cash Mania,PG Soft,pgsoft,slots
51144,Chocolate Deluxe,PG Soft,pgsoft,slots
51049,Circus Delight,PG Soft,pgsoft,slots
51083,Cocktail Nights,PG Soft,pgsoft,slots
51113,Cruise Royale,PG Soft,pgsoft,slots
51069,Crypto Gold,PG Soft,pgsoft,slots
51087,Destiny of Sun & Moon,PG Soft,pgsoft,slots
51150,Doomsday Rampage,PG Soft,pgsoft,slots
51102,Diner Delights,PG Soft,pgsoft,slots
51027,Double Fortune,PG Soft,pgsoft,slots
51031,Dragon Hatch,PG Soft,pgsoft,slots
51123,Dragon Hatch 2,PG Soft,pgsoft,slots
51013,Dragon Legend,PG Soft,pgsoft,slots
51037,Dragon Tiger Luck,PG Soft,pgsoft,slots
51048,Dreams of Macau,PG Soft,pgsoft,slots
51045,Egypt's Book of Mystery,PG Soft,pgsoft,slots
51080,Emoji Riches,PG Soft,pgsoft,slots
51026,Emperor's Favour,PG Soft,pgsoft,slots
51035,Flirting Scholar,PG Soft,pgsoft,slots
51119,Forge of Wealth,PG Soft,pgsoft,slots
51125,Fortune Dragon,PG Soft,pgsoft,slots
51003,Fortune Gods,PG Soft,pgsoft,slots
51041,Fortune Mouse,PG Soft,pgsoft,slots
51065,Fortune Ox,PG Soft,pgsoft,slots
51105,Fortune Rabbit,PG Soft,pgsoft,slots
51146,Fortune Snake,PG Soft,pgsoft,slots
51092,Fortune Tiger,PG Soft,pgsoft,slots
51112,Fruity Candy,PG Soft,pgsoft,slots
51135,Futebol Fever,PG Soft,pgsoft,slots
51054,Galactic Gems,PG Soft,pgsoft,slots
51047,Ganesha Fortune,PG Soft,pgsoft,slots
51024,Ganesha Gold,PG Soft,pgsoft,slots
51088,Garuda Gems,PG Soft,pgsoft,slots
51145,Geisha's Revenge,PG Soft,pgsoft,slots
51149,Graffiti Rush,PG Soft,pgsoft,slots
51002,Gem Saviour,PG Soft,pgsoft,slots
51036,Gem Saviour Conquest,PG Soft,pgsoft,slots
51020,Gem Saviour Sword,PG Soft,pgsoft,slots
51127,Gemstones Gold,PG Soft,pgsoft,slots
51053,Genie's 3 Wishes,PG Soft,pgsoft,slots
51115,Gladiator's Glory,PG Soft,pgsoft,slots
51059,Guardians of Ice & Fire,PG Soft,pgsoft,slots
51107,Hawaiian Tiki,PG Soft,pgsoft,slots
51071,Heist Stakes,PG Soft,pgsoft,slots
51015,Hip Hop Panda,PG Soft,pgsoft,slots
51001,Honey Trap of Diao Chan,PG Soft,pgsoft,slots
51007,Hood vs Wolf,PG Soft,pgsoft,slots
51012,Hotpot,PG Soft,pgsoft,slots
51064,Jack Frost's Winter,PG Soft,pgsoft,slots
51153,Jack the Giant Hunter,PG Soft,pgsoft,slots
51056,Jewels of Prosperity,PG Soft,pgsoft,slots
51028,Journey to the Wealth,PG Soft,pgsoft,slots
51022,Jungle Delight,PG Soft,pgsoft,slots
51076,Jurassic Kingdom,PG Soft,pgsoft,slots
51016,Legend of Hou Yi,PG Soft,pgsoft,slots
51097,Legend of Perseus,PG Soft,pgsoft,slots
51073,Legendary Monkey King,PG Soft,pgsoft,slots
51111,Lucky Clover Lady,PG Soft,pgsoft,slots
51057,Lucky Neko,PG Soft,pgsoft,slots
51095,Lucky Piggy,PG Soft,pgsoft,slots
51120,Mafia Mayhem,PG Soft,pgsoft,slots
51039,Mahjong Ways,PG Soft,pgsoft,slots
51046,Mahjong Ways 2,PG Soft,pgsoft,slots
51063,Majestic Treasures,PG Soft,pgsoft,slots
51084,Mask Carnival,PG Soft,pgsoft,slots
51005,Medusa 1: the Curse of Athena,PG Soft,pgsoft,slots
51004,Medusa 2: the Quest of Perseus,PG Soft,pgsoft,slots
51068,Mermaid Riches,PG Soft,pgsoft,slots
51104,Midas Fortune,PG Soft,pgsoft,slots
51017,Mr. Hallow-Win!,PG Soft,pgsoft,slots
51038,Muay Thai Champion,PG Soft,pgsoft,slots
51142,Museum Mystery,PG Soft,pgsoft,slots
51132,Mystic Potion,PG Soft,pgsoft,slots
